EICHERMOT | ROE Difference = 12.42%
EICHERMOT | ROE Difference = 10.90%
GAIL | ROE Difference = 8.85%
GAIL | ROE Difference = 5.42%
GAIL | ROE Difference = 5.31%
GAIL | ROE Difference = 5.19%
GAIL | ROE Difference = 5.38%
GODREJCP | ROE Difference = 18.74%
GODREJCP | ROE Difference = 14.93%
GODREJCP | ROE Difference = 15.87%
GODREJCP | ROE Difference = 12.71%
GODREJCP | ROE Difference = 17.90%
GODREJCP | ROE Difference = 19.34%
GODREJCP | ROE Difference = 25.46%
GODREJCP | ROE Difference = 12.18%
GODREJCP | ROE Difference = 11.46%
GODREJCP | ROE Difference = 8.66%
GODREJCP | ROE Difference = 5.57%
GODREJCP | ROE Difference = 11.22%
GRASIM | ROE Difference = 12.32%
GRASIM | ROE Difference = 6.77%
GRASIM | ROE Difference = 5.70%
GRASIM | ROE Difference = 6.63%
GRASIM | ROE Difference = 7.90%
GRASIM | ROE Difference = 7.17%
HAL | ROE Difference = 1938.02%
HAL | ROE Difference = 1499.56%
HAL | ROE Difference = 1735.01%
HAL | ROE Difference = 2030.52%
HAL | ROE Difference = 2220.41%
HAL | ROE Difference = 3295.28%
HAL | ROE Difference = 3254.15%
HAL | ROE Difference = 3787.68%
HAVELLS | ROE Difference = 22.29%
HAVELLS | ROE Difference = 8.77%
HAVELLS | ROE Difference = 24.95%
HCLTECH | ROE Difference = 7.39%
HCLTECH | ROE Difference = 10.09%
HCLTECH | ROE Difference = 7.01%
HDFCLIFE | ROE Difference = 22.03%
HDFCLIFE | ROE Difference = 26.20%
HDFCLIFE | ROE Difference = 19.53%
HDFCLIFE | ROE Difference = 14.93%
HDFCLIFE | ROE Difference = 11.78%
HDFCLIFE | ROE Difference = 12.13%
HDFCLIFE | ROE Difference = 11.25%
HDFCLIFE | ROE Difference = 7.65%
HEROMOTOCO | ROE Difference = 15.38%
HEROMOTOCO | ROE Difference = 14.15%
HEROMOTOCO | ROE Difference = 13.23%
HEROMOTOCO | ROE Difference = 12.37%
HEROMOTOCO | ROE Difference = 9.09%
HEROMOTOCO | ROE Difference = 7.30%
